X,Y,Z,RES
1.1768,0.0785,9.8066,9.877268045871793
1.1768,0.3923,9.7282,9.806968582084883
0.7061,0.1569,9.179,9.207455447625039
0.7845,0.1569,9.4144,9.448332404186466
0.7845,0.0,9.1006,9.134350585016978
0.9414,0.1569,9.5713,9.618764747097208
0.863,0.7061,9.4144,9.480204300013794
0.6276,0.3923,9.179,9.208790477038773
0.9414,0.2354,8.7868,8.840220662404304
0.7845,0.1569,9.3359,9.370116683905277
0.3923,0.2354,9.2575,9.26879812597081
0.9414,0.0785,9.4928,9.539688047834689
0.5492,0.0785,9.8066,9.822280104436036
0.7061,0.2354,10.5912,10.617321122109852
0.6276,0.2354,9.3359,9.359931822935465
1.0983,0.2354,9.7282,9.792831627777534
0.7061,0.3138,9.5713,9.60243882250754
0.7845,0.3923,9.5713,9.61140589248004
0.7845,0.0785,10.042,10.072902585650274
0.3923,0.2354,9.4144,9.4255100556946
1.0199,0.9414,9.5713,9.671412185404984
0.7845,0.3138,9.6497,9.686620710030923
0.4707,0.2354,9.7282,9.74242510312499
0.7061,0.3923,9.5713,9.605324574942797
0.6276,0.3138,9.2575,9.284053987886972
0.6276,0.0785,9.1006,9.122552513962306
0.7845,0.2354,9.4928,9.528069334865275
0.5492,0.1569,9.9636,9.979958076565252
0.9414,0.1569,9.3359,9.384555417280033
0.9414,0.1569,9.6497,9.696780994742532
0.3138,0.0785,9.5713,9.576764400359863
0.6276,0.1569,9.5713,9.59313728975042
0.7061,0.1569,9.7282,9.755053565204037
0.2354,0.0,9.2575,9.26049239565586
0.7061,0.2354,9.7282,9.756631878368681
0.4707,0.2354,10.042,10.055781205356448
0.7845,0.3923,9.4928,9.53323614414329
0.7061,0.3138,10.5127,10.541058245736052
0.3138,0.0785,9.2575,9.263149515148722
0.7845,0.3138,9.3359,9.374056725879145
0.4707,0.1569,9.3359,9.349075083129883
1.0199,0.2354,9.5713,9.628363976294208
1.0983,0.0,9.6497,9.712001491968584
0.9414,0.2354,9.179,9.230151034517258
0.863,0.2354,9.5713,9.613010238733755
0.5492,0.9414,9.4144,9.477277138503442
0.5492,0.2354,9.4144,9.433343053234099
0.7061,0.0785,9.4144,9.44116872108533
0.9414,0.0785,9.4144,9.461676572891298
0.6276,0.0,9.179,9.200430574706816
0.7845,0.2354,8.9437,8.981125937208542
0.6276,0.2354,9.6497,9.672952238587762
0.4707,0.1569,9.3359,9.349075083129883
0.9414,0.1569,9.179,9.22848267972585
0.7061,0.2354,9.3359,9.36552289944347
0.5492,0.0,9.5713,9.587043565667155
0.7061,0.3138,9.5713,9.60243882250754
0.7061,0.0785,9.3359,9.362893157032179
0.7845,0.3138,9.2575,9.295978535904652
0.863,0.2354,9.0221,9.06633721907585
0.9414,0.0,9.7282,9.773643598985998
0.0,0.863,9.4144,9.453872030020293
0.9414,0.2354,8.8652,8.918151050526111
0.9414,0.0,9.3359,9.383243723254768
1.0983,0.0,9.8851,9.945927050808285
0.9414,0.0785,9.4928,9.539688047834689
0.7845,0.0,9.4928,9.525161000739043
0.7845,0.0,9.3359,9.368802968362608
0.7061,0.2354,9.4928,9.521934793412525
0.863,0.1569,9.5713,9.611408341132949
0.5492,0.2354,9.8066,9.824786886238297
0.6276,0.0785,9.9636,9.983655090696994
0.7845,0.3923,9.4144,9.455171436838151
0.6276,0.4707,9.4928,9.525161000739043
0.7061,0.0,9.8851,9.91028653571631
0.7845,0.0,9.0221,9.056143144849248
0.7061,0.3138,10.4343,10.462870740862662
0.863,0.2354,9.4928,9.534853643344507
0.863,0.0,9.3359,9.37570252354457
0.7061,0.3138,9.4928,9.524195477309357
1.0983,0.2354,9.5713,9.636983954536815
0.9414,0.2354,8.7868,8.840220662404304
0.7845,0.1569,9.0221,9.05750220921861
0.7845,0.1569,9.4928,9.526453154243715
0.6276,0.2354,9.7282,9.751265054340385
0.863,0.0,9.6497,9.688213410634594
0.7061,0.5492,9.4928,9.534854466115359
0.7061,0.2354,8.9437,8.974617543940242
0.7061,0.0785,9.4144,9.44116872108533
0.7061,0.3923,9.2575,9.292673606126495
0.7061,0.3138,9.2575,9.289690732204168
0.7061,0.4707,9.0221,9.061921656580353
0.9414,0.2354,8.9437,8.996189015911126
0.9414,0.3138,9.4928,9.544524935270482
0.7061,0.1569,9.3359,9.363878663780303
0.5492,0.2354,9.4144,9.433343053234099
1.3337,0.1569,9.1006,9.199146354961421
0.7845,0.3923,9.7282,9.767661684354142
0.7061,0.2354,9.5713,9.600196563612643
0.7061,0.3138,9.5713,9.60243882250754
0.9414,0.2354,8.8652,8.918151050526111
0.7061,0.0,9.4144,9.440842365488368
0.7061,0.2354,10.7481,10.773840725572288
0.7845,0.0785,9.5713,9.60371731102077
0.6276,0.3923,9.4144,9.443447909000188
0.7845,0.2354,9.9636,9.997208528884451
0.6276,0.0,9.5713,9.591854119512035
0.863,0.1569,9.4144,9.455173925951865
0.6276,0.3138,9.6497,9.67517763609537
0.5492,0.1569,9.2575,9.275103476511731
0.7845,0.1569,10.8265,10.856019533420156
0.9414,0.3138,9.4928,9.544524935270482
0.863,0.0785,9.4928,9.532270615650818
0.7845,0.3138,9.1006,9.139739112797477
0.6276,0.1569,9.4928,9.514817455421834
0.7061,0.2354,9.5713,9.600196563612643
0.7845,0.0785,9.4928,9.525484467469358
0.863,0.0785,9.6497,9.688531433607467
0.7845,0.3138,9.4144,9.452239843021337
0.7061,0.2354,10.7481,10.773840725572288
0.4707,0.3138,10.1205,10.136298593668204
0.863,0.1569,9.4928,9.533238612874431
0.7845,0.2354,9.4928,9.528069334865275
0.3138,0.0,9.4928,9.497985169497793
0.3923,0.0,9.4144,9.422570066070085
0.7061,0.3923,9.7282,9.761677711336304
0.7061,0.2354,9.179,9.20912761177735
0.4707,0.0785,10.042,10.05333202177268
0.6276,0.2354,9.8851,9.907799802680714
0.863,0.3138,10.2774,10.318342415330092
0.6276,0.3138,9.179,9.205780423190637
0.7845,0.1569,9.4144,9.448332404186466
0.7845,0.0785,9.2575,9.291012256476685
0.4707,0.1569,9.4144,9.427465378350641
0.7061,0.2354,9.9636,9.991362035778705
0.9414,0.0,9.4928,9.539365062728233
0.7061,0.1569,9.4928,9.520317571383845
0.5492,0.5492,9.5713,9.602761320057894
0.9414,0.1569,8.9437,8.994477264410646
0.7061,0.3923,9.3359,9.370779333118458
0.7845,0.2354,10.5127,10.544558535092875
0.863,0.1569,9.6497,9.689483820101048
0.7845,0.1569,9.3359,9.370116683905277
0.7061,0.5492,9.6497,9.691073621637594
0.2354,0.2354,9.5713,9.577087762467253
1.0199,0.9414,9.4144,9.516162952051632
0.7061,0.1569,9.4928,9.520317571383845
0.7061,0.3138,9.4928,9.524195477309357
0.4707,0.0,9.4144,9.426159655448236
0.0785,0.2354,9.1006,9.103982412658759
0.4707,0.3923,9.6497,9.669134804624454
0.7061,1.0199,9.4144,9.495772774240125
0.7061,0.2354,9.5713,9.600196563612643
0.863,0.2354,9.3359,9.37865720505873
0.7845,0.1569,9.5713,9.604678107568208
0.6276,0.2354,9.0221,9.046965421067995
0.863,0.2354,9.3359,9.37865720505873
0.863,0.2354,9.4928,9.534853643344507
0.7061,0.1569,9.4928,9.520317571383845
1.3337,0.2354,9.8851,9.977443102318349
0.5492,0.4707,10.042,10.06801584871617
0.9414,0.6276,9.4144,9.482143380059174
0.7845,0.1569,9.2575,9.292005386890388
0.9414,0.1569,9.2575,9.30656530735158
0.6276,0.2354,9.8066,9.829481089050429
1.2553,0.0,9.4928,9.575438889680202
1.6475,0.4707,9.4144,9.569051264362628
0.7061,0.4707,9.4144,9.45256912484643
0.863,0.2354,9.0221,9.06633721907585
0.7061,0.1569,9.1006,9.129299818715563
0.863,0.0,9.1006,9.141427096465847
0.7845,0.1569,9.6497,9.682807854646295
0.6276,0.0,9.3359,9.356971228447804
0.7061,0.1569,8.4729,8.503718553080175
0.7845,0.0785,9.1006,9.134687890672565
0.7061,0.2354,9.7282,9.756631878368681
0.7061,0.1569,9.0221,9.051048736472476
0.5492,0.0785,9.179,9.195750316858327
0.6276,0.1569,9.4144,9.436600379903773
0.7061,0.1569,8.7868,8.816521369565208
0.6276,0.3138,9.8851,9.909972462625715
0.863,0.2354,9.4928,9.534853643344507
0.6276,0.0,9.4144,9.435295921167498
0.863,0.0785,9.1006,9.141764141017859
0.863,0.2354,9.3359,9.37865720505873
0.6276,0.2354,9.4144,9.438231946715446
0.6276,0.4707,9.5713,9.603396479371245
0.7845,0.2354,10.1989,10.23173566018982
0.7845,0.1569,9.2575,9.292005386890388
0.6276,0.3923,9.6497,9.678041699641513
0.4707,0.3923,9.8066,9.825724468964108
0.863,0.0785,10.2774,10.31386843090409
0.5492,0.3138,9.4928,9.513850057679068
0.7061,0.5492,9.4928,9.534854466115359
0.863,0.3138,9.4928,9.537111264948104
0.7845,0.3138,9.7282,9.76482390675838
0.7061,1.1768,9.5713,9.669189166626124
0.7061,0.5492,9.4144,9.456803117861766
